Date,Name,Level,Priority,Live Results,Watch
11/20/25,NCAA D1 Regionals,Collegiate,1,https://example.com/ncaa-regionals-live,https://example.com/ncaa-regionals-watch
11/28/25,Foot Locker Midwest,High School,2,https://example.com/footlocker-midwest-live,https://example.com/footlocker-midwest-watch
12/1/25,Boston Indoor Opener,Club,3,https://example.com/boston-opener-live,
12/4/25,Eastbay Northeast Invite,High School,1,https://example.com/eastbay-ne-live,https://example.com/eastbay-ne-watch
12/7/25,NYC Holiday Classic,Club,2,https://example.com/nyc-holiday-live,
12/9/25,NCAA D1 Championships,Collegiate,1,https://example.com/ncaa-champs-live,https://example.com/ncaa-champs-watch
12/11/25,Metro League Finals,High School,3,https://example.com/metro-finals-live,https://example.com/metro-finals-watch
12/15/25,USATF Winter Invite,Professional,2,https://example.com/usatf-winter-live,https://example.com/usatf-winter-watch
12/20/25,Armory Holiday Games,Youth,3,https://example.com/armory-holiday-live,
01/05/26,National Indoor Grand Prix,Professional,1,https://example.com/indoor-gp-live,https://example.com/indoor-gp-watch
01/10/26,Winter Collegiate Invitational,Collegiate,2,https://example.com/winter-collegiate-live,https://example.com/winter-collegiate-watch
01/12/26,City Indoor Classic,High School,3,https://example.com/city-indoor-live,https://example.com/city-indoor-watch
01/15/26,Metro Indoor Showcase,Club,2,https://example.com/metro-indoor-live,https://example.com/metro-indoor-watch
01/18/26,Elite Distance Night,Professional,1,https://example.com/elite-distance-live,https://example.com/elite-distance-watch
01/22/26,Regional Qualifier #1,High School,2,https://example.com/regional-qualifier1-live,https://example.com/regional-qualifier1-watch
01/25/26,Winter Track Festival,Club,3,https://example.com/winter-festival-live,https://example.com/winter-festival-watch
01/28/26,Indoor Championship Preview,Collegiate,1,https://example.com/indoor-preview-live,https://example.com/indoor-preview-watch
02/01/26,Youth Indoor Games,Youth,3,https://example.com/youth-indoor-live,
02/04/26,City Conference Finals,High School,1,https://example.com/city-finals-live,https://example.com/city-finals-watch
02/08/26,Pro Indoor Distance Meet,Professional,1,https://example.com/pro-distance-live,https://example.com/pro-distance-watch
02/11/26,Valentineâ€™s Indoor Classic,Club,2,https://example.com/valentines-classic-live,
02/14/26,Winter Night Invitational,Collegiate,2,https://example.com/winter-night-live,https://example.com/winter-night-watch
02/18/26,State Qualifier #1,High School,1,https://example.com/state-qualifier1-live,https://example.com/state-qualifier1-watch
02/21/26,Metro Youth Indoor Meet,Youth,3,https://example.com/metro-youth-live,
02/25/26,Indoor Finals Tune-Up,Club,2,https://example.com/finals-tuneup-live,https://example.com/finals-tuneup-watch
02/28/26,Pro Indoor Showcase,Professional,1,https://example.com/pro-showcase-live,https://example.com/pro-showcase-watch
03/03/26,State Indoor Championships,High School,1,https://example.com/state-indoor-live,https://example.com/state-indoor-watch
03/07/26,National High School Indoor,High School,1,https://example.com/national-hs-indoor-live,https://example.com/national-hs-indoor-watch
03/10/26,College Conference Indoors,Collegiate,2,https://example.com/college-conf-indoor-live,https://example.com/college-conf-indoor-watch
03/14/26,Pro Indoor Finals,Professional,1,https://example.com/pro-indoor-finals-live,https://example.com/pro-indoor-finals-watch
03/18/26,Spring Opener Distance Meet,Club,3,https://example.com/spring-opener-live,
03/22/26,Junior Indoor Games,Youth,3,https://example.com/junior-indoor-live,
03/25/26,Regional Qualifier #2,High School,2,https://example.com/regional-qualifier2-live,https://example.com/regional-qualifier2-watch
03/29/26,City Indoor Night Meet,Club,2,https://example.com/city-night-live,https://example.com/city-night-watch
04/02/26,Early Outdoor Opener,High School,3,https://example.com/early-outdoor-live,
04/05/26,College Outdoor Opener,Collegiate,2,https://example.com/college-outdoor-live,https://example.com/college-outdoor-watch
04/09/26,Pro Distance Spring Classic,Professional,1,https://example.com/pro-spring-classic-live,https://example.com/pro-spring-classic-watch
04/12/26,Metro Outdoor Classic,Club,3,https://example.com/metro-outdoor-live,https://example.com/metro-outdoor-watch
04/16/26,Youth Outdoor Invitational,Youth,3,https://example.com/youth-outdoor-live,
04/20/26,National Outdoor Grand Prix,Professional,1,https://example.com/national-outdoor-gp-live,https://example.com/national-outdoor-gp-watch
12/21/25,Holiday Distance Classic,Club,2,https://example.com/holiday-distance-live,https://example.com/holiday-distance-watch
12/21/25,Winter Sprint Showcase,High School,2,https://example.com/winter-sprint-live,https://example.com/winter-sprint-watch
12/21/25,Sunday Night Invitational,Professional,1,https://example.com/sunday-night-live,https://example.com/sunday-night-watch
12/21/25,Junior Holiday Relays,Youth,3,https://example.com/junior-relays-live,
12/21/25,Metro Holiday Distance Meet,Club,3,https://example.com/metro-holiday-distance-live,https://example.com/metro-holiday-distance-watch
12/21/25,City Winter Challenge,High School,2,https://example.com/city-winter-challenge-live,https://example.com/city-winter-challenge-watch
12/21/25,Elite Holiday Mile,Professional,1,https://example.com/elite-holiday-mile-live,https://example.com/elite-holiday-mile-watch
12/21/25,Community Holiday 5K,Club,3,https://example.com/community-holiday-5k-live,
